Date,Symbol,Close
2019-06-04 10-AM,BTCUSD,7962.90
2019-06-04 09-AM,BTCUSD,7967.90
2019-06-04 08-AM,BTCUSD,7951.90
2019-06-04 07-AM,BTCUSD,7900.00
2019-06-04 06-AM,BTCUSD,7868.60
2019-06-04 05-AM,BTCUSD,7944.00
2019-06-04 04-AM,BTCUSD,7964.10
2019-06-04 03-AM,BTCUSD,7905.00
2019-06-04 02-AM,BTCUSD,8024.00
2019-06-04 01-AM,BTCUSD,7979.50
2019-06-04 12-AM,BTCUSD,7950.40
2019-06-03 11-PM,BTCUSD,8099.20
2019-06-03 10-PM,BTCUSD,8458.80
2019-06-03 09-PM,BTCUSD,8463.20
2019-06-03 08-PM,BTCUSD,8533.10
2019-06-03 07-PM,BTCUSD,8555.00
2019-06-03 06-PM,BTCUSD,8545.30
2019-06-03 05-PM,BTCUSD,8475.00
2019-06-03 04-PM,BTCUSD,8523.00
2019-06-03 03-PM,BTCUSD,8456.28
2019-06-03 02-PM,BTCUSD,8376.00
2019-06-03 01-PM,BTCUSD,8429.60
2019-06-03 12-PM,BTCUSD,8532.90
2019-06-03 11-AM,BTCUSD,8487.10
2019-06-03 10-AM,BTCUSD,8529.90
2019-06-03 09-AM,BTCUSD,8478.70
2019-06-03 08-AM,BTCUSD,8468.00
2019-06-03 07-AM,BTCUSD,8464.80
2019-06-03 06-AM,BTCUSD,8512.00
2019-06-03 05-AM,BTCUSD,8589.00
2019-06-03 04-AM,BTCUSD,8663.00
2019-06-03 03-AM,BTCUSD,8666.90
2019-06-03 02-AM,BTCUSD,8673.40
2019-06-03 01-AM,BTCUSD,8687.30
2019-06-03 12-AM,BTCUSD,8670.06
2019-06-02 11-PM,BTCUSD,8740.10
2019-06-02 10-PM,BTCUSD,8737.00
2019-06-02 09-PM,BTCUSD,8713.00
2019-06-02 08-PM,BTCUSD,8685.90
2019-06-02 07-PM,BTCUSD,8668.00
2019-06-02 06-PM,BTCUSD,8683.80
2019-06-02 05-PM,BTCUSD,8661.30
2019-06-02 04-PM,BTCUSD,8701.07
2019-06-02 03-PM,BTCUSD,8714.80
2019-06-02 02-PM,BTCUSD,8708.60
2019-06-02 01-PM,BTCUSD,8679.10
2019-06-02 12-PM,BTCUSD,8800.00
2019-06-02 11-AM,BTCUSD,8733.70
2019-06-02 10-AM,BTCUSD,8734.80
2019-06-02 09-AM,BTCUSD,8726.40
2019-06-02 08-AM,BTCUSD,8727.30
2019-06-02 07-AM,BTCUSD,8692.90
2019-06-02 06-AM,BTCUSD,8575.00
2019-06-02 05-AM,BTCUSD,8578.99
2019-06-02 04-AM,BTCUSD,8568.80
2019-06-02 03-AM,BTCUSD,8550.00
2019-06-02 02-AM,BTCUSD,8558.20
2019-06-02 01-AM,BTCUSD,8562.10
2019-06-02 12-AM,BTCUSD,8572.08
2019-06-01 11-PM,BTCUSD,8547.00
2019-06-01 10-PM,BTCUSD,8582.20
2019-06-01 09-PM,BTCUSD,8591.60
2019-06-01 08-PM,BTCUSD,8536.00
2019-06-01 07-PM,BTCUSD,8521.00
2019-06-01 06-PM,BTCUSD,8498.00
2019-06-01 05-PM,BTCUSD,8522.90
2019-06-01 04-PM,BTCUSD,8562.74
2019-06-01 03-PM,BTCUSD,8530.00
2019-06-01 02-PM,BTCUSD,8489.10
2019-06-01 01-PM,BTCUSD,8520.00
2019-06-01 12-PM,BTCUSD,8546.00
2019-06-01 11-AM,BTCUSD,8561.00
2019-06-01 10-AM,BTCUSD,8547.10
2019-06-01 09-AM,BTCUSD,8572.30
2019-06-01 08-AM,BTCUSD,8557.00
2019-06-01 07-AM,BTCUSD,8531.90
2019-06-01 06-AM,BTCUSD,8517.10
2019-06-01 05-AM,BTCUSD,8468.95
2019-06-01 04-AM,BTCUSD,8550.00
2019-06-01 03-AM,BTCUSD,8539.00
2019-06-01 02-AM,BTCUSD,8517.00
2019-06-01 01-AM,BTCUSD,8542.00
2019-06-01 12-AM,BTCUSD,8565.70
2019-05-31 11-PM,BTCUSD,8532.67
2019-05-31 10-PM,BTCUSD,8489.90
2019-05-31 09-PM,BTCUSD,8512.90
2019-05-31 08-PM,BTCUSD,8496.90
2019-05-31 07-PM,BTCUSD,8417.90
2019-05-31 06-PM,BTCUSD,8389.22
2019-05-31 05-PM,BTCUSD,8389.60
2019-05-31 04-PM,BTCUSD,8374.60
2019-05-31 03-PM,BTCUSD,8326.00
2019-05-31 02-PM,BTCUSD,8397.10
2019-05-31 01-PM,BTCUSD,8391.00
2019-05-31 12-PM,BTCUSD,8288.92
2019-05-31 11-AM,BTCUSD,8248.90
2019-05-31 10-AM,BTCUSD,8280.80
2019-05-31 09-AM,BTCUSD,8293.00
2019-05-31 08-AM,BTCUSD,8258.50
2019-05-31 07-AM,BTCUSD,8292.60
2019-05-31 06-AM,BTCUSD,8269.20
2019-05-31 05-AM,BTCUSD,8226.00
2019-05-31 04-AM,BTCUSD,8152.10
2019-05-31 03-AM,BTCUSD,8255.90
2019-05-31 02-AM,BTCUSD,8273.60
2019-05-31 01-AM,BTCUSD,8321.02
2019-05-31 12-AM,BTCUSD,8297.30
2019-05-30 11-PM,BTCUSD,8270.00
2019-05-30 10-PM,BTCUSD,8264.40
2019-05-30 09-PM,BTCUSD,8217.30
2019-05-30 08-PM,BTCUSD,8464.27
2019-05-30 07-PM,BTCUSD,8610.91
2019-05-30 06-PM,BTCUSD,8648.00
2019-05-30 05-PM,BTCUSD,8629.00
2019-05-30 04-PM,BTCUSD,8654.50
2019-05-30 03-PM,BTCUSD,8964.20
2019-05-30 02-PM,BTCUSD,8738.00
